,confirm,heal,dead,confirm_add
01.31,1,0,0,0
02.01,1,0,0,0
02.02,1,0,0,0
02.03,1,0,0,0
02.04,1,0,0,0
02.05,1,0,0,0
02.06,1,0,0,0
02.07,1,0,0,0
02.08,1,0,0,0
02.09,1,0,0,0
02.10,1,0,0,0
02.11,1,0,0,0
02.12,1,0,0,0
02.13,1,0,0,0
02.14,1,0,0,0
02.15,1,0,0,0
02.16,1,0,0,0
02.17,1,0,0,0
02.18,1,0,0,0
02.19,1,0,0,0
02.20,1,0,0,0
02.21,1,0,0,0
02.22,1,0,0,0
02.23,1,0,0,0
02.24,1,0,0,0
02.25,1,0,0,0
02.26,1,0,0,0
02.27,2,0,0,1
02.28,7,0,0,5
02.29,12,0,0,5
03.01,13,0,0,1
03.02,14,0,0,1
03.03,19,0,0,5
03.04,30,0,0,11
03.05,60,0,0,30
03.06,101,0,0,41
03.07,161,0,0,50
03.08,203,0,0,42
03.09,248,0,0,45
03.10,346,1,0,12
03.11,464,1,1,204
03.12,635,1,1,280
03.13,687,1,1,52
03.14,814,1,2,127
03.15,992,1,2,178
03.16,1023,1,3,31
03.17,1119,1,7,96
03.18,1119,1,7,0
03.19,1292,15,10,173
03.20,1439,16,11,147
03.21,1639,16,16,200
03.22,1770,16,20,131
03.23,1934,16,23,188
03.24,2272,16,36,338
03.25,2272,16,36,338
03.26,2510,16,42,238
03.27,3046,16,92,536
03.28,3069,16,92,23
03.29,3447,16,105,378
03.30,3700,16,110,253
03.31,4435,16,180,735
04.01,4947,16,239,512
04.02,5466,103,282,519
04.03,6078,103,333,612
04.04,6443,205,373,365
04.05,6830,205,401,387
04.06,7206,205,477,376
04.07,7693,205,591,487
04.08,8419,205,687,726
04.09,9141,205,793,722
04.10,9685,205,870,544
04.11,10151,381,887,466
04.12,10483,381,899,332
04.13,10948,381,919,465
04.14,11445,381,1033,497
04.15,11927,381,1203,482
04.16,12540,381,1333,613
04.17,13216,550,1400,676
04.18,13822,550,1511,606
04.19,14385,550,1540,563
04.20,14777,550,1580,392
04.21,15322,550,1765,545
04.22,16004,550,1937,682
04.23,16755,550,2021,751
04.24,17567,550,2152,812
04.25,18177,1005,2192,610
04.26,18640,1005,2194,463
04.27,18926,1005,2274,286
04.28,19621,1005,2355,695
04.29,20302,1005,2462,681
04.30,21092,1005,2586,790
05.01,21092,1005,2586,0
05.02,22082,1005,2669,990
05.03,22082,1005,2669,0
05.04,22721,1005,2769,639
05.05,23216,4074,2854,495
05.06,23918,4074,2941,702
05.07,24623,4074,3040,705
05.08,25265,4971,3175,642
05.09,25921,4971,3220,656
05.10,26322,4971,3225,401
05.11,26670,4971,3256,348
05.12,27272,4971,3313,602
05.13,27909,4971,3460,637
05.14,28582,4971,3529,673
05.15,29207,4971,3646,625
05.16,29677,4971,3674,470
05.17,30143,4971,3679,466
05.18,30377,4971,3698,234
05.19,30799,4971,3743,422
05.20,31523,4971,3831,724
05.21,32172,4971,3871,649
05.22,32809,4971,3925,637
05.23,33188,4971,3992,379
05.24,33459,4971,3998,271
05.25,33843,4971,4029,384
05.26,34440,4971,4125,597
05.27,35088,4971,4220,648
05.28,35727,4971,4266,639
05.29,36476,4971,4350,749
05.30,37113,4971,4395,637
05.31,37542,4971,4395,429
06.01,37814,4971,4403,272
06.02,38589,0,4468,775
06.03,38589,0,4468,0
06.04,40803,0,4542,2214
06.05,41883,0,4562,1080
06.06,43887,0,4656,2004
06.07,44730,0,4659,843
06.08,45133,0,4694,403
06.09,45924,0,4717,791
06.10,45924,0,4717,0
06.11,48288,0,4814,2364
06.12,49684,0,4854,1396
06.13,50931,0,4874,1247
06.14,51614,0,4874,683
06.15,52383,0,4891,769
06.16,53323,0,4939,940
06.17,54562,0,5041,1239
06.18,56043,0,5053,1481
06.19,56043,0,5053,0
06.20,56043,0,5053,0
06.21,56043,0,5053,0
06.22,58932,0,5122,2889
06.23,60837,0,5161,1905
06.24,62324,0,5209,1487
06.25,63890,0,5230,1566
06.26,65137,0,5280,1247
06.27,65137,0,5280,0
06.28,65137,0,5280,0
06.29,67667,0,5310,2530
06.30,68451,0,5333,784
07.01,69692,0,5370,1241
07.02,70639,4971,5411,947
07.03,71419,4971,5420,780
07.04,71419,4971,5420,0
07.05,71419,4971,5420,0
07.06,73061,4971,5433,1642
07.07,73344,4971,5447,283
07.08,73858,4971,5482,514
07.09,74333,4971,5500,475
07.10,74898,4971,5526,565
07.11,74898,4971,5526,0
07.12,74898,4971,5526,0
07.13,75826,4971,5536,928
07.14,76001,4971,5545,175
