,confirm,heal,dead,confirm_add
03.21,2,0,0,2
03.22,3,0,0,1
03.23,2,0,1,2
03.24,3,0,1,1
03.25,3,0,1,1
03.26,3,0,1,0
03.27,5,0,1,2
03.28,7,0,1,2
03.29,7,0,1,0
03.30,7,0,1,0
03.31,8,0,1,1
04.01,8,0,1,0
04.02,8,0,1,0
04.03,9,0,1,1
04.04,9,0,1,0
04.05,9,0,1,0
04.06,9,0,1,0
04.07,10,0,1,1
04.08,11,0,2,1
04.09,11,0,3,0
04.10,11,0,3,0
04.11,13,0,3,2
04.12,14,0,3,1
04.13,14,0,3,0
04.14,17,0,3,3
04.15,18,1,3,1
04.16,23,1,3,5
04.17,24,2,3,1
04.18,24,2,3,0
04.19,25,2,3,1
04.20,25,2,3,0
04.21,25,2,3,0
04.22,28,2,3,3
04.23,28,2,4,0
04.24,29,2,4,1
04.25,29,2,4,0
04.26,31,2,4,2
04.27,31,5,4,0
04.28,32,5,4,1
04.29,32,5,4,0
04.30,40,5,4,8
05.01,40,5,4,0
05.02,34,5,4,-6
05.03,34,5,4,0
05.04,34,5,4,0
05.05,34,5,4,0
05.06,34,5,4,0
05.07,34,5,4,0
05.08,34,5,4,0
05.09,35,9,4,1
05.10,36,9,4,1
05.11,36,9,4,0
05.12,36,9,4,0
05.13,37,12,4,1
05.14,37,12,4,0
05.15,37,13,4,0
05.16,42,13,4,5
05.17,44,17,4,2
05.18,44,17,4,0
05.19,46,18,4,2
05.20,46,18,4,0
05.21,48,18,4,2
05.22,51,18,4,3
05.23,51,18,4,0
05.24,56,23,4,5
05.25,56,25,4,0
05.26,56,25,4,0
05.27,56,25,4,0
05.28,132,25,4,76
05.29,149,28,4,17
05.30,160,29,4,11
05.31,174,29,4,14
06.01,178,29,4,4
06.02,203,29,4,25
06.03,206,29,4,3
06.04,222,29,4,16
06.05,237,31,4,15
06.06,265,33,4,28
06.07,279,33,4,14
06.08,282,34,4,3
06.09,287,46,4,5
06.10,314,46,4,27
06.11,320,49,4,6
06.12,332,51,4,12
06.13,343,51,4,11
06.14,356,54,4,13
06.15,383,54,4,27
06.16,387,54,4,4
06.17,391,62,4,4
06.18,401,63,4,10
06.19,463,63,4,62
06.20,479,63,4,16
06.21,479,63,4,0
06.22,489,64,6,10
06.23,512,64,6,23
06.24,525,64,6,13
06.25,530,123,6,5
06.26,551,128,6,21
06.27,561,135,6,10
06.28,567,142,6,6
06.29,567,142,6,0
06.30,574,152,7,7
07.01,591,162,7,17
07.02,605,166,7,14
07.03,617,173,7,12
07.04,625,176,7,8
07.05,698,181,8,73
07.06,716,181,8,18
07.07,734,197,9,18
07.08,787,201,9,53
07.09,885,206,9,98
07.10,926,306,12,41
07.11,942,320,13,16
07.12,982,320,18,40
07.13,985,328,18,3
07.14,1034,343,19,49
07.15,1064,343,20,30
07.16,1089,395,20,25
07.17,1362,425,23,273
