,confirm,heal,dead,confirm_add
01.28,1,0,0,0
01.29,4,0,0,3
01.30,4,0,0,0
01.31,6,0,0,2
02.01,7,0,0,1
02.02,10,0,0,3
02.03,10,0,0,0
02.04,12,0,0,2
02.05,12,0,0,0
02.06,12,0,0,0
02.07,13,0,0,1
02.08,13,0,0,0
02.09,14,0,0,1
02.10,14,0,0,0
02.11,14,0,0,0
02.12,16,0,0,2
02.13,16,0,0,0
02.14,16,1,0,0
02.15,16,1,0,0
02.16,16,1,0,0
02.17,16,1,0,0
02.18,16,7,0,0
02.19,16,7,0,0
02.20,16,7,0,0
02.21,16,7,0,0
02.22,16,7,0,0
02.23,16,7,0,0
02.24,16,14,0,0
02.25,16,14,0,0
02.26,19,14,0,3
02.27,27,14,0,8
02.28,60,14,0,33
02.29,66,16,0,6
03.01,117,16,0,51
03.02,157,16,0,40
03.03,196,16,0,79
03.04,240,16,0,44
03.05,349,16,0,109
03.06,565,16,0,216
03.07,684,16,0,88
03.08,847,18,0,163
03.09,1151,18,0,304
03.10,1224,18,2,73
03.11,1565,18,3,341
03.12,2078,25,3,513
03.13,3117,46,7,1039
03.14,3675,46,8,558
03.15,5142,46,9,1467
03.16,5813,46,13,2138
03.17,7272,135,17,1174
03.18,10082,135,26,2810
03.19,13944,135,43,3862
03.20,17653,115,44,3709
03.21,20099,180,70,2446
03.22,23921,266,92,3822
03.23,27181,422,113,3259
03.24,31370,453,132,4189
03.25,35353,3243,181,3983
03.26,39572,3547,224,4219
03.27,43211,5678,262,3639
03.28,53340,6658,399,10129
03.29,58247,8481,455,4907
03.30,63929,9211,560,5682
03.31,68180,15824,682,4251
04.01,74508,16100,821,6328
04.02,81728,19175,997,7220
04.03,87244,24575,1138,5516
04.04,92050,24575,1295,4806
04.05,97074,26400,1478,5024
04.06,100186,28700,1590,3112
04.07,104199,36081,1842,4013
04.08,109329,36081,2096,5130
04.09,113615,46300,2349,4286
04.10,119401,52407,2607,5786
04.11,122855,53913,2736,3454
04.12,125834,57400,2886,2979
04.13,127916,64300,3022,2082
04.14,130434,68200,3220,2518
04.15,132553,72600,3528,2119
04.16,135549,77000,3850,2996
04.17,138456,81800,4193,2907
04.18,142325,85400,4403,3869
04.19,144348,88000,4547,2023
04.20,145743,91500,4642,1395
04.21,147593,95200,4869,1850
04.22,149044,99400,5127,1451
04.23,151175,103300,5354,2131
04.24,153584,106800,5577,2409
04.25,155418,109800,5802,1834
04.26,157026,109800,5880,1608
04.27,157946,114500,5984,920
04.28,159038,117400,6161,1092
04.29,160479,120400,6330,1441
04.30,161985,123500,6504,1506
05.01,163009,126900,6623,1024
05.02,164316,129000,6736,1307
05.03,164967,129000,6812,651
05.04,165745,132700,6866,778
05.05,166304,135100,6993,559
05.06,167372,137400,6993,1068
05.07,168655,139900,7322,1283
05.08,169430,141700,7392,775
05.09,170876,143300,7510,1446
05.10,171539,144400,7549,663
05.11,171999,145600,7569,460
05.12,172812,147200,7667,813
05.13,173546,148700,7780,734
05.14,174098,150300,7861,552
05.15,174478,151547,7884,380
05.16,175715,151953,7931,1237
05.17,176369,154011,7958,654
05.18,176551,155041,7988,182
05.19,177289,155681,8067,738
05.20,178150,156966,8136,861
05.21,178748,158057,8195,598
05.22,179150,159025,8219,402
05.23,179787,159681,8256,637
05.24,180072,160263,8283,285
05.25,180420,161163,8300,348
05.26,180802,161599,8329,382
05.27,181524,162800,8416,722
05.28,181918,163222,8463,394
05.29,182559,164213,8497,641
05.30,183125,164887,8527,566
05.31,183370,165331,8539,245
06.01,183508,165592,8546,138
06.02,183879,166563,8563,371
